round,scenario_id,n_orders,cities,order_payouts,benchmark_bundle,benchmark_size,best_to_2nd_margin
1,mainGameScenario1,4,Berkeley|Oakland,22|22|15|18,mainGameOrder1,1,0.122
2,mainGameScenario2,4,Berkeley,24|15|15|20,mainGameOrder8,1,0.107
3,mainGameScenario3,4,Berkeley|Oakland,15|23|23|16,mainGameOrder11,1,0.022
4,mainGameScenario4,4,Berkeley,17|17|20|16,mainGameOrder14,1,0.027
5,mainGameScenario5,4,Oakland|Piedmont,14|20|17|13,mainGameOrder17+mainGameOrder19,2,0.083
6,mainGameScenario6,4,Oakland,19|22|24|18,mainGameOrder22,1,0.003
7,mainGameScenario7,4,Emeryville|Oakland,12|17|21|21,mainGameOrder28,1,0.043
8,mainGameScenario8,4,Oakland,17|15|15|14,mainGameOrder29,1,0.023
9,mainGameScenario9,4,Emeryville|Piedmont,12|17|12|13,mainGameOrder33+mainGameOrder35+mainGameOrder36,3,0.033
10,mainGameScenario10,4,Piedmont,14|20|19|23,mainGameOrder39+mainGameOrder40,2,0.001
11,mainGameScenario11,4,Berkeley|Emeryville,13|19|18|15,mainGameOrder42+mainGameOrder43,2,0.011
12,mainGameScenario12,4,Emeryville,16|14|22|14,mainGameOrder45+mainGameOrder46+mainGameOrder47,3,0.003
13,mainGameScenario13,4,Berkeley|Emeryville,24|17|14|12,mainGameOrder49,1,0.225
14,mainGameScenario14,4,Emeryville,21|14|22|18,mainGameOrder56,1,0.032
15,mainGameScenario15,4,Oakland|Piedmont,22|18|17|22,mainGameOrder57+mainGameOrder59+mainGameOrder60,3,0.033
16,mainGameScenario16,4,Piedmont,24|24|18|22,mainGameOrder62,1,0.112
17,mainGameScenario17,4,Oakland|Piedmont,19|22|17|13,mainGameOrder66,1,0.001
18,mainGameScenario18,4,Oakland,14|13|22|19,mainGameOrder71+mainGameOrder72,2,0.002
19,mainGameScenario19,4,Oakland|Piedmont,12|17|18|24,mainGameOrder75,1,0.009
20,mainGameScenario20,4,Oakland,24|23|17|20,mainGameOrder78,1,0.172
21,mainGameScenario21,4,Berkeley|Piedmont,20|17|24|21,mainGameOrder81+mainGameOrder84,2,0.023
22,mainGameScenario22,4,Piedmont,17|22|19|16,mainGameOrder86+mainGameOrder88,2,0.04
23,mainGameScenario23,4,Berkeley|Piedmont,16|21|22|19,mainGameOrder91+mainGameOrder92,2,0.039
24,mainGameScenario24,4,Piedmont,17|21|19|15,mainGameOrder94,1,0.017
25,mainGameScenario25,4,Emeryville|Oakland,12|18|17|15,mainGameOrder98+mainGameOrder99,2,0.114
26,mainGameScenario26,4,Emeryville,22|16|17|19,mainGameOrder101,1,0.114
27,mainGameScenario27,4,Berkeley|Emeryville,18|21|14|24,mainGameOrder105,1,0.072
