participant_token,rounds_completed,cumulative_score,mean_round_score,rank,percentile
p083,1,2.037037,2.037037,1,100.0
p060,1,1.676136,1.676136,2,98.8
p084,2,1.48294,1.496605,3,97.6
p033,17,1.458202,1.456276,4,96.4
p035,15,1.446424,1.387051,5,95.2
p059,27,1.443658,1.413672,6,94.0
p036,20,1.441671,1.452608,7,92.9
p031,12,1.44,1.4203,8,91.7
p032,25,1.418608,1.435803,9,90.5
p068,2,1.412214,1.505532,10,89.3
p067,22,1.41158,1.444669,11,88.1
p057,19,1.398432,1.412655,12,86.9
p017,19,1.398061,1.435938,13,85.7
p070,7,1.397229,1.428014,14,84.5
p019,17,1.373877,1.394312,15,83.3
p038,18,1.368799,1.41641,16,82.1
p047,15,1.36717,1.431851,17,81.0
p016,17,1.364436,1.399235,18,79.8
p021,18,1.363902,1.393632,19,78.6
p081,10,1.363392,1.386997,20,77.4
p048,9,1.355589,1.390051,21,76.2
p065,20,1.353944,1.398704,22,75.0
p045,15,1.349984,1.34048,23,73.8
p076,12,1.347686,1.361603,24,72.6
p077,19,1.347269,1.382075,25,71.4
p004,15,1.346604,1.366597,26,70.2
p007,19,1.344839,1.367405,27,69.0
p011,16,1.340747,1.365156,28,67.9
p024,16,1.340747,1.365156,29,66.7
p043,22,1.339683,1.378881,30,65.5
p079,20,1.339026,1.361642,31,64.3
p026,14,1.336365,1.369437,32,63.1
p010,18,1.335653,1.404279,33,61.9
p082,17,1.335305,1.361483,34,60.7
p027,27,1.334421,1.382706,35,59.5
p013,17,1.334347,1.359172,36,58.3
p023,17,1.333644,1.359676,37,57.1
p078,18,1.333426,1.356474,38,56.0
p071,21,1.332624,1.360808,39,54.8
p001,20,1.332513,1.352484,40,53.6
p075,18,1.331077,1.357114,41,52.4
p037,20,1.331011,1.338793,42,51.2
p012,14,1.33063,1.348686,43,50.0
p005,22,1.329214,1.371046,44,48.8
p041,20,1.327006,1.387392,45,47.6
p030,19,1.326256,1.333312,46,46.4
p063,16,1.32314,1.371709,47,45.2
p058,18,1.321078,1.346696,48,44.0
p014,17,1.318905,1.34603,49,42.9
p054,18,1.318729,1.34628,50,41.7
p039,12,1.318084,1.354856,51,40.5
p020,13,1.315046,1.332223,52,39.3
p025,15,1.314334,1.330587,53,38.1
p050,13,1.3126,1.328317,54,36.9
p055,12,1.312313,1.312164,55,35.7
p028,12,1.311071,1.371485,56,34.5
p046,13,1.310782,1.381165,57,33.3
p029,12,1.30884,1.327227,58,32.1
p072,21,1.308604,1.313795,59,31.0
p051,17,1.304992,1.319341,60,29.8
p073,15,1.303913,1.319031,61,28.6
p074,13,1.303571,1.326479,62,27.4
p053,17,1.303331,1.354198,63,26.2
p022,15,1.299711,1.318853,64,25.0
p049,15,1.299711,1.318853,65,23.8
p040,10,1.298043,1.326464,66,22.6
p066,12,1.296276,1.299585,67,21.4
p056,10,1.295306,1.320805,68,20.2
p080,13,1.294221,1.316487,69,19.0
p015,9,1.294136,1.359707,70,17.9
p009,14,1.293373,1.314856,71,16.7
p006,12,1.292846,1.315546,72,15.5
p018,16,1.288893,1.348555,73,14.3
p042,14,1.276639,1.328026,74,13.1
p008,13,1.275905,1.30924,75,11.9
p034,14,1.273863,1.289196,76,10.7
p044,18,1.260767,1.317158,77,9.5
p052,13,1.257756,1.317053,78,8.3
p061,22,1.245019,1.346966,79,7.1
p062,14,1.241256,1.262527,80,6.0
p002,8,1.17579,1.184848,81,4.8
p064,1,1.153846,1.153846,82,3.6
p085,8,1.095732,1.070938,83,2.4
p069,12,1.078824,1.153731,84,1.2
p003,2,0.989691,0.943205,85,0.0
