from_city,to_city,reconstructed_cross,obs_count,reliable_obs,min,median,max,std,live_value,identification
Berkeley,Emeryville,7,6,1,7,7,7,0,8,well
Berkeley,Oakland,10,36,6,10,10,16,1.26,12,poor
Berkeley,Piedmont,11,50,8,11,11,24,1.89,14,poor
Emeryville,Berkeley,7,7,3,7,7,14,2.45,8,poor
Emeryville,Oakland,6,6,2,6,6,14,2.98,8,poor
Emeryville,Piedmont,8,48,4,8,8,8,0,10,well
Oakland,Berkeley,10,7,3,10,10,10,0,12,well
Oakland,Emeryville,6,5,2,6,6,6,0,8,well
Oakland,Piedmont,5,85,5,5,5,25,2.9,8,poor
Piedmont,Berkeley,11,1,0,11,11,11,0,14,poor
Piedmont,Emeryville,8,71,6,8,8,18,1.23,10,poor
Piedmont,Oakland,5,82,7,5,5,5,0,8,well
