round_index,phase,recommendations_shown_in_run,phase_recommendations_eligible,scenario_id,starting_city_for_round,n_orders,order_ids,orders_detail,n_distinct_stores,n_distinct_cities,menu_layout,max_bundle,store_overlap_realized,generator_city_rule,dispersion_designed,overlap_designed,trap_designed,trap_target_amount,intended_difficulty,oracle_bundle_ids,oracle_bundle_size,oracle_score,oracle_earnings,oracle_time_s,oracle_ending_city,second_best_bundle_ids,second_best_bundle_size,second_best_score,second_best_earnings,score_gap,relative_gap,max_overlap_savings_s,maxpay_bundle_ids,maxpay_bundle_size,maxpay_earnings,maxpay_score,payout_trap_present,trap_overpay_amount,trap_score_shortfall,trap_relative_shortfall,deployed_best_bundle_ids,recompute_matches_deployed_best,recompute_matches_deployed_second
1,A,False,False,mainGameScenario1,Berkeley,4,"[""mainGameOrder1"", ""mainGameOrder2"", ""mainGameOrder3"", ""mainGameOrder4""]","[{""id"": ""mainGameOrder1"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 22, ""n_unique_items"": 2}, {""id"": ""mainGameOrder2"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 22, ""n_unique_items"": 2}, {""id"": ""mainGameOrder3"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 15, ""n_unique_items"": 2}, {""id"": ""mainGameOrder4"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 18, ""n_unique_items"": 2}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder1""]",1,2.037037,22.0,10.8,Berkeley,"[""mainGameOrder1"", ""mainGameOrder2""]",2,1.788618,44.0,0.248419,0.121951,3.0,"[""mainGameOrder1"", ""mainGameOrder2"", ""mainGameOrder3""]",3,59.0,1.676136,True,37.0,0.360901,0.177169,"[""mainGameOrder1""]",True,True
2,A,False,False,mainGameScenario2,Berkeley,4,"[""mainGameOrder5"", ""mainGameOrder6"", ""mainGameOrder7"", ""mainGameOrder8""]","[{""id"": ""mainGameOrder5"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 24, ""n_unique_items"": 3}, {""id"": ""mainGameOrder6"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 15, ""n_unique_items"": 3}, {""id"": ""mainGameOrder7"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 15, ""n_unique_items"": 3}, {""id"": ""mainGameOrder8"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 20, ""n_unique_items"": 2}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder8""]",1,1.851852,20.0,10.8,Berkeley,"[""mainGameOrder5"", ""mainGameOrder8""]",2,1.654135,44.0,0.197717,0.106767,5.4,"[""mainGameOrder5"", ""mainGameOrder7"", ""mainGameOrder8""]",3,59.0,1.520619,True,39.0,0.331233,0.178866,"[""mainGameOrder8""]",True,True
3,A,False,False,mainGameScenario3,Berkeley,4,"[""mainGameOrder9"", ""mainGameOrder10"", ""mainGameOrder11"", ""mainGameOrder12""]","[{""id"": ""mainGameOrder9"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 15, ""n_unique_items"": 3}, {""id"": ""mainGameOrder10"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 23, ""n_unique_items"": 3}, {""id"": ""mainGameOrder11"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 23, ""n_unique_items"": 3}, {""id"": ""mainGameOrder12"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 16, ""n_unique_items"": 2}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder11""]",1,1.277778,23.0,18.0,Berkeley,"[""mainGameOrder11"", ""mainGameOrder12""]",2,1.25,39.0,0.027778,0.021739,3.6,"[""mainGameOrder9"", ""mainGameOrder11"", ""mainGameOrder12""]",3,54.0,1.216216,True,31.0,0.061562,0.048179,"[""mainGameOrder11""]",True,True
4,A,False,False,mainGameScenario4,Berkeley,4,"[""mainGameOrder13"", ""mainGameOrder14"", ""mainGameOrder15"", ""mainGameOrder16""]","[{""id"": ""mainGameOrder13"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder14"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder15"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 20, ""n_unique_items"": 3}, {""id"": ""mainGameOrder16"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 16, ""n_unique_items"": 3}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder14""]",1,1.734694,17.0,9.8,Berkeley,"[""mainGameOrder13"", ""mainGameOrder14"", ""mainGameOrder15""]",3,1.6875,54.0,0.047194,0.027206,3.6,"[""mainGameOrder13"", ""mainGameOrder14"", ""mainGameOrder15""]",3,54.0,1.6875,True,37.0,0.047194,0.027206,"[""mainGameOrder14""]",True,True
5,A,False,False,mainGameScenario5,Berkeley,4,"[""mainGameOrder17"", ""mainGameOrder18"", ""mainGameOrder19"", ""mainGameOrder20""]","[{""id"": ""mainGameOrder17"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 14, ""n_unique_items"": 2}, {""id"": ""mainGameOrder18"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 20, ""n_unique_items"": 3}, {""id"": ""mainGameOrder19"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder20"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 13, ""n_unique_items"": 2}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder17"", ""mainGameOrder19""]",2,0.918519,31.0,33.75,Oakland,"[""mainGameOrder18"", ""mainGameOrder20""]",2,0.841837,33.0,0.076682,0.083484,1.4,"[""mainGameOrder18"", ""mainGameOrder20""]",2,33.0,0.841837,True,2.0,0.076682,0.083484,"[""mainGameOrder17"", ""mainGameOrder19""]",True,True
6,A,False,False,mainGameScenario6,Oakland,4,"[""mainGameOrder21"", ""mainGameOrder22"", ""mainGameOrder23"", ""mainGameOrder24""]","[{""id"": ""mainGameOrder21"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 19, ""n_unique_items"": 3}, {""id"": ""mainGameOrder22"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 22, ""n_unique_items"": 2}, {""id"": ""mainGameOrder23"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 24, ""n_unique_items"": 2}, {""id"": ""mainGameOrder24"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 18, ""n_unique_items"": 2}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder22""]",1,2.146341,22.0,10.25,Oakland,"[""mainGameOrder22"", ""mainGameOrder23""]",2,1.936842,46.0,0.209499,0.097608,3.0,"[""mainGameOrder21"", ""mainGameOrder22"", ""mainGameOrder23""]",3,65.0,1.830986,True,43.0,0.315356,0.146927,"[""mainGameOrder22""]",True,True
7,A,False,False,mainGameScenario7,Oakland,4,"[""mainGameOrder25"", ""mainGameOrder26"", ""mainGameOrder27"", ""mainGameOrder28""]","[{""id"": ""mainGameOrder25"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 12, ""n_unique_items"": 3}, {""id"": ""mainGameOrder26"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 17, ""n_unique_items"": 3}, {""id"": ""mainGameOrder27"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 21, ""n_unique_items"": 2}, {""id"": ""mainGameOrder28"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 21, ""n_unique_items"": 2}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder28""]",1,1.866667,21.0,11.25,Oakland,"[""mainGameOrder27"", ""mainGameOrder28""]",2,1.787234,42.0,0.079433,0.042553,2.25,"[""mainGameOrder25"", ""mainGameOrder27"", ""mainGameOrder28""]",3,54.0,1.367089,True,33.0,0.499578,0.267631,"[""mainGameOrder28""]",True,True
8,A,False,False,mainGameScenario8,Oakland,4,"[""mainGameOrder29"", ""mainGameOrder30"", ""mainGameOrder31"", ""mainGameOrder32""]","[{""id"": ""mainGameOrder29"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder30"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 15, ""n_unique_items"": 3}, {""id"": ""mainGameOrder31"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 15, ""n_unique_items"": 3}, {""id"": ""mainGameOrder32"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 14, ""n_unique_items"": 2}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder29""]",1,1.511111,17.0,11.25,Oakland,"[""mainGameOrder29"", ""mainGameOrder32""]",2,1.47619,31.0,0.034921,0.023109,2.25,"[""mainGameOrder29"", ""mainGameOrder30"", ""mainGameOrder31""]",3,47.0,1.016216,True,30.0,0.494895,0.327504,"[""mainGameOrder29""]",True,True
9,A,False,False,mainGameScenario9,Oakland,4,"[""mainGameOrder33"", ""mainGameOrder34"", ""mainGameOrder35"", ""mainGameOrder36""]","[{""id"": ""mainGameOrder33"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 12, ""n_unique_items"": 2}, {""id"": ""mainGameOrder34"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 17, ""n_unique_items"": 3}, {""id"": ""mainGameOrder35"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 12, ""n_unique_items"": 3}, {""id"": ""mainGameOrder36"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 13, ""n_unique_items"": 3}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder33"", ""mainGameOrder35"", ""mainGameOrder36""]",3,0.839002,37.0,44.1,Piedmont,"[""mainGameOrder33"", ""mainGameOrder36""]",2,0.811688,25.0,0.027314,0.032555,4.2,"[""mainGameOrder33"", ""mainGameOrder35"", ""mainGameOrder36""]",3,37.0,0.839002,False,0,0,0,"[""mainGameOrder33"", ""mainGameOrder35"", ""mainGameOrder36""]",True,True
10,A,False,False,mainGameScenario10,Piedmont,4,"[""mainGameOrder37"", ""mainGameOrder38"", ""mainGameOrder39"", ""mainGameOrder40""]","[{""id"": ""mainGameOrder37"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 14, ""n_unique_items"": 2}, {""id"": ""mainGameOrder38"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 20, ""n_unique_items"": 2}, {""id"": ""mainGameOrder39"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 19, ""n_unique_items"": 2}, {""id"": ""mainGameOrder40"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 23, ""n_unique_items"": 3}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder39"", ""mainGameOrder40""]",2,1.673307,42.0,25.1,Piedmont,"[""mainGameOrder38"", ""mainGameOrder39"", ""mainGameOrder40""]",3,1.671159,62.0,0.002148,0.001284,4.2,"[""mainGameOrder38"", ""mainGameOrder39"", ""mainGameOrder40""]",3,62.0,1.671159,True,20.0,0.002148,0.001284,"[""mainGameOrder39"", ""mainGameOrder40""]",True,True
