scenario_id,round_index,phase,intended_difficulty,trap_designed,trap_target_amount,dispersion_designed,overlap_designed,generator_city_rule,realized_n_distinct_stores,realized_n_distinct_cities,rng_seed,scenario_set_version_id,generator_schema_version,reward_model_version,route_optimizer_version,legal_bundle_model_version,source_file,source_commit
mainGameScenario1,1,A,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario2,2,A,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario3,3,A,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario4,4,A,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario5,5,A,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario6,6,A,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario7,7,A,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario8,8,A,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario9,9,A,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario10,10,A,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario11,11,A,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario12,12,A,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario13,13,A,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario14,14,A,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario15,15,A,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario16,16,B,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario17,17,B,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario18,18,B,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario19,19,B,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario20,20,B,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario21,21,B,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario22,22,B,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario23,23,B,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario24,24,B,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario25,25,B,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario26,26,B,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario27,27,B,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario28,28,B,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario29,29,B,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario30,30,B,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario31,31,B,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario32,32,B,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario33,33,B,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario34,34,B,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario35,35,B,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario36,36,C,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario37,37,C,,False,,True,False,random_fair_target_city,2,2,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
mainGameScenario38,38,C,,False,,True,False,anchored_to_prev_best_city,1,1,,mainGame_2026_03_20_14_26_36,,,,,src/lib/scripts/generateScenarios.js,17989b5
